n_users,trial,V0,V_DG,V_Xstar,Xstar_size,delta_hat_star,bound,ratio,slack,violated,valid,centralized_success,centralized_solver
30,19,667.7022731363961,566.5920065428074,509.0177062850035,12,26.99978531619843,1.8641066282502328,1.1131086395363379,0.7509979887138949,FALSE,TRUE,TRUE,gekko_apopt
30,20,618.4503122885052,520.6362614451587,485.6830734216936,9,24.406645826473444,1.4896133851862319,1.0719670705779714,0.4176463146082605,FALSE,TRUE,TRUE,gekko_apopt
40,1,884.8251725994884,715.043760066182,663.5372296230421,14,36.985515025000694,2.310013799434138,1.0776241756207123,1.2323896238134258,FALSE,TRUE,TRUE,gekko_apopt
40,2,1040.4130297536888,832.9407014548452,735.8545816669601,14,43.562583414268026,2.3153660799573412,1.1319365567690727,1.1834295231882686,FALSE,TRUE,TRUE,gekko_apopt
40,3,732.8508544244592,650.1297260326646,623.0093195166503,10,27.731180892581396,1.5478797712280294,1.0435313014852734,0.504348469742756,FALSE,TRUE,TRUE,gekko_apopt
40,4,909.2392178321144,780.0849446006233,719.2199682706549,13,32.63813497973413,1.8076356308768788,1.0846263716458215,0.7230092592310573,FALSE,TRUE,TRUE,gekko_apopt
40,5,902.9730048299759,749.1545363059997,661.9788746435854,13,34.11208831713208,1.8908181378958682,1.1316894919182283,0.7591286459776398,FALSE,TRUE,TRUE,gekko_apopt
40,6,899.482378356619,737.0012151370638,673.7062424564936,13,39.80086073513414,2.2500558608510435,1.0939504025519813,1.1561054582990622,FALSE,TRUE,TRUE,gekko_apopt
40,7,987.7239610462414,768.3359707879983,659.5878105419794,14,47.3324454194163,2.8928917176838493,1.1648729077583488,1.7280188099255005,FALSE,TRUE,TRUE,gekko_apopt
40,8,831.3490587311144,718.6977809908728,636.0936645367226,13,36.14255484809506,2.1997666455343383,1.1298615613697587,1.0699050841645796,FALSE,TRUE,TRUE,gekko_apopt
40,9,884.4971973983518,769.2558662841707,709.7261700650647,10,28.087396060718643,1.4187820301456087,1.0838769919018887,0.33490503824372,FALSE,TRUE,TRUE,gekko_apopt
40,10,880.1428078618455,786.2765180806579,722.030749860288,11,27.98325781653505,1.4889383026037828,1.088979268864659,0.3999590337391239,FALSE,TRUE,TRUE,gekko_apopt
40,11,894.4333124303387,730.451591562115,666.2618912891489,13,33.08612247181425,1.8550974315555824,1.0963430463488848,0.7587543852066976,FALSE,TRUE,TRUE,gekko_apopt
40,12,807.891224939075,718.0609835273578,678.7429646617456,11,21.425694302552046,1.3744385310958949,1.0579277000465213,0.3165108310493736,FALSE,TRUE,TRUE,gekko_apopt
40,13,943.7757375790302,816.8614286950428,756.4456963234445,11,37.80549497865529,1.716128051096031,1.0798679041539097,0.6362601469421214,FALSE,TRUE,TRUE,gekko_apopt
40,14,931.9452925488006,826.3614443405012,753.9619959733418,12,35.1157625102454,1.7565737741932956,1.0960253285362134,0.6605484456570823,FALSE,TRUE,TRUE,gekko_apopt
40,15,975.2884869331763,828.761098768603,732.9807820616909,13,35.59561349981674,1.8333842604560693,1.1306723437379984,0.7027119167180709,FALSE,TRUE,TRUE,gekko_apopt
