n_users,trial,final_pE,final_pN,restricted_gap,recorded_final_grid_ne_gap,true_grid_ne_gap,audit_grid_points,audit_stage2_solver_calls,runtime_sec,esp_revenue,nsp_revenue,joint_revenue,source_row_final_grid_ne_gap_source,error
200,7,3.442370638265715,3.3243116745275096,0.0,0.0,8.368709489487856,120,240,836.5785704159644,146.3534484182709,132.5724669811004,278.9259153993713,restricted_gap_zero_certified,
200,8,2.8336237847447228,4.968334025547808,0.0,0.0,3.9496580701834034,120,240,959.217952374951,157.9647255432115,198.33336102191237,356.29808656512387,restricted_gap_zero_certified,
200,9,4.986759294959907,2.799991354491511,0.0,0.0,8.36494225853778,120,240,916.1424827079754,178.23737525548245,106.87605277433106,285.1134280298135,restricted_gap_zero_certified,
200,10,3.367275816412938,4.04402820192878,0.0,0.0,8.753563398375519,120,240,994.7580847500358,163.94185338315975,154.45664374279428,318.398497125954,restricted_gap_zero_certified,
250,1,4.300491571103917,3.0952267209123376,0.0,0.0,10.834404705136194,120,240,1515.9205407920526,155.9578478494301,114.1491848510127,270.1070327004428,restricted_gap_zero_certified,
250,2,5.876164809935101,4.314415996985184,0.0,0.0,12.467369281659614,120,240,2084.668838249985,241.54591452668674,167.70457872899522,409.25049325568193,restricted_gap_zero_certified,
250,3,3.780172063636577,3.976762617761618,0.0,0.0,0.3916801634848639,120,240,1568.0485889998963,171.37054344400988,158.67050471046474,330.04104815447465,restricted_gap_zero_certified,
250,4,3.7755125518483106,4.643413687327874,0.0,0.0,0.9203211681779919,120,240,1806.9553632499883,189.99403085099942,172.4437238457937,362.43775469679315,restricted_gap_zero_certified,
250,5,3.823647358019101,4.2274765087761175,0.0,0.0,8.338526791222762,120,240,1699.1945794590283,175.21234081833808,163.56454286905935,338.77688368739746,restricted_gap_zero_certified,
250,6,4.510949954279422,3.719333575792756,0.0,0.0,6.661951085936835,120,240,1738.6091138749616,187.37821651514267,148.37334303171025,335.75155954685295,restricted_gap_zero_certified,
250,7,4.747988043845019,3.4058588282964064,0.0,0.0,9.687225052371815,120,240,1492.0366737500299,162.5833140479526,132.90634931753232,295.48966336548494,restricted_gap_zero_certified,
250,8,4.481218905628022,3.466961860655078,0.0,0.0,2.662702044385128,120,240,1751.63773795811,182.1176862936333,138.2784744262031,320.3961607198364,restricted_gap_zero_certified,
250,9,3.993202659292543,4.0357832631240775,0.0,0.0,7.836286468488936,120,240,2239.7175520829624,157.83605192070334,148.35329303863108,306.18934495933445,restricted_gap_zero_certified,
250,10,4.116130366759239,2.9128745132853924,0.0,0.0,6.225545326639605,120,240,1387.6393468329916,150.46343502546043,116.07588163205496,266.53931665751537,restricted_gap_zero_certified,
