method,n_users,trial,success,final_pE,final_pN,offloading_size,restricted_gap,final_grid_ne_gap,final_grid_ne_gap_source,esp_revenue,nsp_revenue,joint_revenue,runtime_sec,stage2_solver_calls,audit_stage2_solver_calls,total_stage2_solver_calls,error
BO-online,50,8,1,4.475930095676577,0.9331015090435009,7,11.869668450247119,3.6412893827813093,audit_grid,83.23413708967753,35.68783442193527,118.92197151161281,143.8273407079978,1071,240,1311,
MARL,50,8,1,4.802,5.401,3,13.337261178839704,13.05059968920883,audit_grid,36.46299673325844,29.072949728641525,65.53594646189997,7.3292331250268035,60,240,300,
GA,50,9,1,0.674751,3.25687,11,10.138622612923186,9.284813869033968,audit_grid,44.20676841834354,108.0955649428562,152.30233336119974,297.27072875003796,2507,240,2747,
BO-online,50,9,1,3.2689839255317987,1.6500662916476991,8,12.277784002469488,6.617421235658497,audit_grid,74.66820890061973,61.85280484186947,136.5210137424892,125.24268345802557,1071,240,1311,
MARL,50,9,1,4.802,5.401,1,16.87934024394987,30.492546791542555,audit_grid,13.265640625058401,11.789806149633915,25.055446774692314,6.694914874969982,60,240,300,
GA,50,10,1,0.720485,2.834569,13,2.9301377920713563,0.0,audit_grid,54.516778505143414,112.60929351035313,167.12607201549653,395.7922386249993,3216,240,3456,
BO-online,50,10,1,4.056446109100009,1.0498535839688863,8,9.700364751761128,2.23388804313619,audit_grid,80.36438448169542,41.59414335875546,121.95852784045088,128.817845957994,1071,240,1311,
MARL,50,10,1,4.802,5.401,1,12.804574501094125,27.840300488605752,audit_grid,12.295499505171543,6.941603548553677,19.23710305372522,6.111131625017151,60,240,300,
GA,100,1,1,2.05289,4.459988,13,1.0214401568654807,0.4771177155267452,audit_grid,93.0961232814323,139.34672238719708,232.4428456686294,2179.2655658749864,2609,240,2849,
BO-online,100,1,1,3.5114806265734604,2.6117137417950356,13,13.066147837919985,4.657500748366644,audit_grid,122.00455434791233,104.06854967180143,226.07310401971375,873.5239414160023,1071,240,1311,
MARL,100,1,1,4.802,5.401,3,45.676348907923646,56.909184658633336,audit_grid,34.70514400457168,32.55122634872406,67.25637035329574,45.965331625018734,60,240,300,
GA,100,2,1,2.550775,4.178001,10,0.3040612230938535,1.7546130883744553,audit_grid,81.87420634524116,96.64920960690999,178.52341595215114,1974.908627375029,2743,240,2983,
BO-online,100,2,1,2.2916616989805423,3.3303592708184477,12,2.4769851407452705,1.515413507070349,audit_grid,93.75824615669131,105.88383496268224,199.64208111937356,810.9835612089955,1071,240,1311,
MARL,100,2,1,4.802,5.401,2,35.42195873709145,45.02423843248343,audit_grid,24.474020990542076,27.48940161198219,51.96342260252426,40.741675750003196,60,240,300,
GA,100,3,1,3.643208,5.534644,6,0.2293651432943804,0.08972899902785514,audit_grid,60.29995796904766,80.30356131405141,140.60351928309908,1398.7457942089532,2586,240,2826,
BO-online,100,3,1,2.7252735072055145,2.43488966115347,10,14.89192613790857,3.4178116516651755,audit_grid,82.00758756526785,87.3912353504716,169.39882291573946,382.689177207998,1071,240,1311,
MARL,100,3,1,4.802,3.6039999999999996,6,8.555648241602853,8.369322997188405,audit_grid,69.27466951788435,64.73826189619885,134.0129314140832,21.253388624987565,64,240,304,
GA,100,4,1,2.08751,3.752436,16,4.435468045444949,1.0650561124202653,audit_grid,120.83919927153629,148.71006022895,269.5492595004863,1377.2829832079588,2966,240,3206,
BO-online,100,4,1,4.55424681606646,2.3108908623700715,12,11.980626769803479,6.359773430206488,audit_grid,133.87911511205556,92.03563449480288,225.91474960685844,490.6713250829489,1071,240,1311,
MARL,100,4,1,4.802,5.401,5,43.405394050360385,42.5271226733519,audit_grid,54.79880858510056,53.39352103704979,108.19232962215034,25.866480291995686,60,240,300,
GA,100,5,1,0.813563,4.404235,14,12.527318800187345,8.861461378943858,audit_grid,63.32485611087137,160.26795038576202,223.5928064966334,920.4449570829747,2786,240,3026,
BO-online,100,5,1,2.752018287110088,2.77121138656195,10,22.261459185181337,9.420611325484145,audit_grid,85.29380971358304,96.27531537437966,181.5691250879627,355.0119162919582,1071,240,1311,
MARL,100,5,1,4.802,5.401,1,26.93251669447614,54.72187251485495,audit_grid,12.563276763020037,8.696138024648857,21.259414787668895,18.552140082989354,60,240,300,
