pE,pN,esp_revenue,nsp_revenue,joint_revenue,eps,social_cost,centralized_success
4.848484848,0.06060606061,45.90609449,2.024242424,47.93033691,14.08390128,467.0802644,1
4.909090909,0.06060606061,46.19318712,2.024242424,48.21742954,13.79680865,467.6534925,1
4.96969697,0.06060606061,47.2065061,2.024242424,49.23074853,12.78348966,467.9554124,1
5.03030303,0.06060606061,47.49339321,2.024242424,49.51763563,12.49660256,468.5304967,1
5.090909091,0.06060606061,36.7981893,2.024242424,38.82243173,23.19180646,469.0865443,1
5.151515152,0.06060606061,37.01735158,2.024242424,39.04159401,22.97264418,469.5241802,1
5.212121212,0.06060606061,37.23489159,2.024242424,39.25913401,22.75510418,469.9592492,1
5.272727273,0.06060606061,37.45178899,2.024242424,39.47603141,22.53820678,470.391796,1
5.333333333,0.06060606061,37.66733362,2.024242424,39.69157604,22.32266215,470.821864,1
5.393939394,0.06060606061,37.88165677,2.024242424,39.90589919,22.108339,471.2494953,1
5.454545455,0.06060606061,38.09456408,2.024242424,40.11880651,21.89543168,471.6747308,1
5.515151515,0.06060606061,38.30644743,2.024242424,40.33068985,21.68354834,472.0976104,1
5.575757576,0.06060606061,38.51703761,2.024242424,40.54128003,21.47295816,472.5181728,1
5.636363636,0.06060606061,36.29202537,2.024242424,38.3162678,23.69797039,471.1628599,1
5.696969697,0.06060606061,36.48727175,2.024242424,38.51151417,23.50272402,471.5527444,1
5.757575758,0.06060606061,36.68063246,2.024242424,38.70487488,23.30936331,471.9405606,1
5.818181818,0.06060606061,36.87475454,2.024242424,38.89899696,23.11524123,472.3263406,1
5.878787879,0.06060606061,37.06671144,2.024242424,39.09095386,22.92328433,472.7101168,1
5.939393939,0.06060606061,37.25810101,2.024242424,39.28234343,22.73189476,473.0919197,1
6,0.06060606061,37.44792509,2.024242424,39.47216751,22.54207068,473.4717796,1
0,0.1212121212,-1,4.448484848,3.448484848,87.27272727,319.1102669,1
0.06060606061,0.1212121212,5.060606059,4.448484848,9.509090907,75.69745312,325.7936502,1
0.1212121212,0.1212121212,11.12121212,4.448484848,15.56969697,77.57575758,333.0199713,1
0.1818181818,0.1212121212,17.18181818,4.448484848,21.63030303,75.15151515,339.0805773,1
0.2424242424,0.1212121212,23.04149352,4.448484848,27.48997837,72.72727273,341.9235647,1
0.303030303,0.1212121212,23.15321242,4.448484848,27.60169727,70.3030303,352.7428292,1
0.3636363636,0.1212121212,22.89620174,4.448484848,27.34468659,67.87878788,357.2047969,1
0.4242424242,0.1212121212,26.08520411,4.448484848,30.53368896,65.45454545,359.794592,1
0.4848484848,0.1212121212,30.43275021,4.448484848,34.88123506,63.03030303,361.3395216,1
0.5454545455,0.1212121212,31.53514724,4.448484848,35.98363209,60.60606061,369.1026619,1
0.6060606061,0.1212121212,33.1027913,4.448484848,37.55127615,58.18181818,368.3565958,1
0.6666666667,0.1212121212,34.77071284,4.448484848,39.21919769,58.18181818,371.6421868,1
0.7272727273,0.1212121212,32.83517428,4.448484848,37.28365913,53.81352693,376.7088068,1
0.7878787879,0.1212121212,37.8898659,4.448484848,42.33835075,52.75134324,377.7925687,1
0.8484848485,0.1212121212,36.47598972,4.448484848,40.92447457,51.6683246,386.0035715,1
0.9090909091,0.1212121212,36.81487649,4.448484848,41.26336134,50.90909091,384.5687909,1
0.9696969697,0.1212121212,38.04920843,4.448484848,42.49769328,48.28798718,387.0104479,1
