n_users,trial,final_pE,final_pN,restricted_gap,recorded_final_grid_ne_gap,true_grid_ne_gap,audit_grid_points,audit_stage2_solver_calls,runtime_sec,esp_revenue,nsp_revenue,joint_revenue,source_row_final_grid_ne_gap_source,error
150,5,3.764462005815609,2.968158141146822,0.0,0.0,7.216375308619661,120,240,281.7705721249804,129.90367330840527,113.07625382649516,242.97992713490044,restricted_gap_zero_certified,
150,6,4.463824427638524,3.173535326446158,0.0,0.0,3.357907009990896,120,240,331.7659326250432,149.72635491985667,113.97041512886852,263.69677004872517,restricted_gap_zero_certified,
150,7,5.3167129984463415,2.9171244856476686,0.0,0.0,12.169809575602159,120,240,457.7450467090821,147.01573947693814,105.55717424161823,252.57291371855638,restricted_gap_zero_certified,
150,8,3.067068293591825,3.4313393332486037,0.0,0.0,0.06071238434154225,120,240,469.509003541898,149.0855013472808,136.85357332994417,285.939074677225,restricted_gap_zero_certified,
150,9,4.308271486755768,4.002281768869367,0.0,0.0,2.8091063911069227,120,240,396.4316217090236,198.73641568866137,159.69127075477468,358.4276864434361,restricted_gap_zero_certified,
150,10,4.60069668916366,3.4539290414529535,0.0,0.0,1.1705694343188497,120,240,360.76115325000137,175.47933449785015,137.75716165811815,313.2364961559683,restricted_gap_zero_certified,
200,1,5.343799604719224,2.940744021778612,0.0,0.0,5.590407196082424,120,240,709.5745517920004,180.83749740350723,117.22976087114446,298.0672582746517,restricted_gap_zero_certified,
200,2,3.5174676981950004,3.8543080028273717,0.0,0.0,7.3033101390059585,120,240,1377.8050772499992,169.48381261883935,153.77232011309482,323.25613273193414,restricted_gap_zero_certified,
200,3,4.188564387751551,3.3563285387800943,0.0,0.0,6.510197104342467,120,240,725.329523375025,157.52199114336847,132.86038066527854,290.382371808647,restricted_gap_zero_certified,
200,4,3.297747465759353,3.2688309432792098,0.0,0.0,11.008447536811246,120,240,862.8216631669784,143.76266028497076,130.3532377311684,274.11589801613917,restricted_gap_zero_certified,
200,5,3.056355750464648,4.472750944483334,6.416974808719772,5.910846248774391,5.910846248774391,120,240,1567.3102805000003,151.610919605781,167.82457636486015,319.4354959706411,audit_grid,
200,6,2.1320634558892397,5.25595326330416,0.0,0.0,5.60052493001848,120,240,2014.3263305420005,167.16487034117648,209.8381305321664,377.0030008733429,restricted_gap_zero_certified,
