n_users,trial,V0,V_DG,V_Xstar,X_DG_size,Xstar_size,delta_hat_star,bound,ratio,slack,violated,valid,rollback_count,accepted_admissions,inner_call_count,runtime_sec,used_exact_inner,stage2_method,inner_solver_mode,centralized_success,centralized_solver
200,14,4775.243828715755,4459.8482263973965,4248.772260052829,13,22,49.963249431879106,1.2854225513347397,1.0496792846086656,0.23574326672607415,False,True,26,39,67,0.019912900403141975,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
200,15,4843.379109253579,4622.646897824156,4381.463505367532,12,24,37.82441835372727,1.2210496885565756,1.0550463086503314,0.16600337990624414,False,True,32,44,78,0.02979979943484068,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
200,16,4848.840966501588,4598.023411125858,4392.379840650711,10,20,43.22362688512309,1.2061177136334402,1.0468182575131484,0.15929945612029184,False,True,40,50,92,0.03085779957473278,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
200,17,4662.625208641044,4439.319198828419,4186.02973649633,11,23,45.9533159257716,1.2803819638110316,1.0605082807042097,0.21987368310682198,False,True,20,31,53,0.018359900452196598,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
200,18,4689.137617638993,4451.775977958483,4253.615291120189,11,23,42.65047115610593,1.2530381966226016,1.0465864149143842,0.20645178170821743,False,True,21,32,55,0.014797200448811054,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
200,19,4602.718572282065,4393.21310808804,4202.431663837132,9,20,38.566728402401374,1.1912540843820012,1.0453978694984205,0.1458562148835807,False,True,49,58,109,0.025035100057721138,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
200,20,5113.583895446345,4846.7097522220765,4570.3379751857765,13,23,41.74608321892351,1.2211220994838796,1.060470752608852,0.1606513468750277,False,True,8,21,31,0.009570500813424587,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
200,21,4583.786811413003,4347.977256026672,4180.314612725689,11,21,35.51397102840074,1.1850653044115842,1.040107661464184,0.1449576429474002,False,True,47,58,107,0.033389199525117874,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
200,22,4446.425990152704,4125.951743437878,3935.650474780874,11,23,48.87808818933001,1.3236735423285566,1.0483531934241694,0.27532034890438717,False,True,38,49,89,0.021369299851357937,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
200,23,4422.237361531205,4151.802160451505,3996.746005427817,10,20,49.09163146834839,1.2711137411184368,1.038795598923002,0.23231814219543478,False,True,124,134,260,0.07504850067198277,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
200,24,4555.200091509484,4309.0658242186955,4113.530914211917,10,21,38.02557006113466,1.2024433325224568,1.0475345667954559,0.15490876572700096,False,True,65,75,142,0.048017400316894054,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
200,25,4906.320804031349,4703.617332515146,4447.5654807391375,10,21,41.1908595983216,1.2038489081211592,1.0575712382167008,0.14627766990445834,False,True,27,37,66,0.02049530018121004,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
