pE,pN,combined_gap
2.483050847,0.2177966102,95.408472793
2.566949153,0.2177966102,93.344248993
2.650847458,0.2177966102,91.299710603
2.734745763,0.2177966102,89.265630303
2.818644068,0.2177966102,88.416117493
2.902542373,0.2177966102,86.420614923
2.986440678,0.2177966102,85.387532343
3.070338983,0.2177966102,84.083979093
3.154237288,0.2177966102,81.49806928299999
3.238135593,0.2177966102,80.517938083
3.322033898,0.2177966102,78.051876063
3.405932203,0.2177966102,75.722984333
3.489830508,0.2177966102,74.976212773
3.573728814,0.2177966102,72.150489743
3.657627119,0.2177966102,71.134964233
3.741525424,0.2177966102,68.348557623
3.825423729,0.2177966102,68.015967593
3.909322034,0.2177966102,65.37365632299999
3.993220339,0.2177966102,64.29674193299999
4.077118644,0.2177966102,63.01273651299999
4.161016949,0.2177966102,62.295072273
4.244915254,0.2177966102,60.97400556299999
4.328813559,0.2177966102,60.271871102999995
4.412711864,0.2177966102,58.310434613
4.496610169,0.2177966102,57.145747673
4.580508475,0.2177966102,55.561240133
4.66440678,0.2177966102,54.827695903
4.748305085,0.2177966102,54.439697212999995
4.83220339,0.2177966102,52.682079933
4.916101695,0.2177966102,51.997321993
5.0,0.2177966102,50.684521913
0.05,0.3016949153,161.39497888999998
0.1338983051,0.3016949153,161.39497888999998
0.2177966102,0.3016949153,161.39497888999998
0.3016949153,0.3016949153,161.39497888999998
0.3855932203,0.3016949153,161.39497888999998
0.4694915254,0.3016949153,161.39497888999998
0.5533898305,0.3016949153,161.39497888999998
0.6372881356,0.3016949153,161.27099779
0.7211864407,0.3016949153,156.53839309
0.8050847458,0.3016949153,151.79292879
0.8889830508,0.3016949153,147.59752779
0.9728813559,0.3016949153,143.85931678999998
1.056779661,0.3016949153,139.91825448999998
1.140677966,0.3016949153,136.49366128999998
1.224576271,0.3016949153,133.55206249
1.308474576,0.3016949153,130.61496638999998
1.392372881,0.3016949153,127.56719639
1.476271186,0.3016949153,125.16228899
1.560169492,0.3016949153,121.08297119000001
1.644067797,0.3016949153,117.41141979000001
1.727966102,0.3016949153,113.82515829
1.811864407,0.3016949153,111.34850539
1.895762712,0.3016949153,108.68150249
1.979661017,0.3016949153,106.68867999
2.063559322,0.3016949153,104.37029639000001
2.147457627,0.3016949153,101.83855329000001
2.231355932,0.3016949153,98.88373139000001
2.315254237,0.3016949153,95.76995029
2.399152542,0.3016949153,94.01007599
2.483050847,0.3016949153,92.05254059
2.566949153,0.3016949153,89.98831679
2.650847458,0.3016949153,87.9437784
2.734745763,0.3016949153,85.9096981
2.818644068,0.3016949153,85.06018529
2.902542373,0.3016949153,83.06468272000001
2.986440678,0.3016949153,82.03160014000001
3.070338983,0.3016949153,80.72804689
3.154237288,0.3016949153,78.14213708
3.238135593,0.3016949153,77.16200588000001
3.322033898,0.3016949153,74.69594386
3.405932203,0.3016949153,72.36705213
3.489830508,0.3016949153,71.62028057
3.573728814,0.3016949153,68.79455754
3.657627119,0.3016949153,67.77903203000001
3.741525424,0.3016949153,64.99262542000001
3.825423729,0.3016949153,64.66003539
3.909322034,0.3016949153,62.01772412
3.993220339,0.3016949153,60.94080973
4.077118644,0.3016949153,59.65680431
4.161016949,0.3016949153,58.93914007000001
4.244915254,0.3016949153,57.61807336
4.328813559,0.3016949153,56.9159389
4.412711864,0.3016949153,54.95450241
4.496610169,0.3016949153,53.78981547000001
4.580508475,0.3016949153,52.205307930000004
4.66440678,0.3016949153,51.4717637
4.748305085,0.3016949153,51.08376500999999
4.83220339,0.3016949153,49.32614773
4.916101695,0.3016949153,48.641389790000005
5.0,0.3016949153,47.32858971
0.05,0.3855932203,158.03904669
0.1338983051,0.3855932203,158.03904669
0.2177966102,0.3855932203,158.03904669
0.3016949153,0.3855932203,158.03904669
0.3855932203,0.3855932203,158.03904669
0.4694915254,0.3855932203,158.03904669
0.5533898305,0.3855932203,158.03904669
0.6372881356,0.3855932203,157.91506559
