provider,point_group,boundary_price,pE,pN,candidate_set_size,candidate_set
E,unique,0.891931806688,0.891931806688,0.5,17,5;6;10;11;12;15;25;31;38;45;46;48;65;70;77;90;97
E,unique,1.93189265181,1.93189265181,0.5,18,5;6;10;11;12;15;25;31;38;45;46;48;65;70;77;90;93;97
E,unique,1.62825191446,1.62825191446,0.5,19,5;6;10;11;12;15;25;31;38;45;46;48;65;70;75;77;90;93;97
E,unique,1.33214833389,1.33214833389,0.5,20,1;5;6;10;11;12;15;25;31;38;45;46;48;65;70;75;77;90;93;97
E,unique,1.60068021811,1.60068021811,0.5,21,1;5;6;10;11;12;15;25;31;38;45;46;48;55;65;70;75;77;90;93;97
E,unique,1.29770282566,1.29770282566,0.5,22,1;5;6;10;11;12;15;25;31;38;45;46;48;55;65;70;75;77;90;93;96;97
E,unique,1.40497374347,1.40497374347,0.5,23,1;5;6;10;11;12;15;25;31;38;45;46;48;55;65;70;75;77;82;90;93;96;97
E,unique,1.48144091493,1.48144091493,0.5,24,1;5;6;10;11;12;15;25;31;38;45;46;48;55;65;70;75;77;82;90;93;95;96;97
E,unique,2.35398940866,2.35398940866,0.5,25,1;5;6;10;11;12;15;25;31;36;38;45;46;48;55;65;70;75;77;82;90;93;95;96;97
E,unique,1.82137131689,1.82137131689,0.5,26,1;5;6;10;11;12;15;25;31;36;38;45;46;48;55;65;70;74;75;77;82;90;93;95;96;97
E,unique,2.12254215796,2.12254215796,0.5,27,1;5;6;10;11;12;15;25;31;36;38;45;46;48;55;65;70;74;75;77;82;89;90;93;95;96;97
E,unique,3.19715265079,3.19715265079,0.5,28,1;5;6;10;11;12;15;25;31;36;38;45;46;48;55;65;70;74;75;77;82;87;89;90;93;95;96;97
E,unique,2.93463319819,2.93463319819,0.5,29,1;5;6;10;11;12;15;25;31;36;38;45;46;48;55;65;70;74;75;77;82;87;89;90;93;95;96;97;99
E,unique,2.65749371435,2.65749371435,0.5,30,1;2;5;6;10;11;12;15;25;31;36;38;45;46;48;55;65;70;74;75;77;82;87;89;90;93;95;96;97;99
E,unique,2.35716446949,2.35716446949,0.5,31,1;2;5;6;10;11;12;15;25;31;36;38;45;46;48;55;56;65;70;74;75;77;82;87;89;90;93;95;96;97;99
E,unique,3.53356257527,3.53356257527,0.5,32,1;2;5;6;10;11;12;14;15;25;31;36;38;45;46;48;55;56;65;70;74;75;77;82;87;89;90;93;95;96;97;99
E,unique,3.20456568568,3.20456568568,0.5,33,1;2;5;6;10;11;12;14;15;25;28;31;36;38;45;46;48;55;56;65;70;74;75;77;82;87;89;90;93;95;96;97;99
E,unique,2.93717006566,2.93717006566,0.5,34,1;2;5;6;10;11;12;14;15;19;25;28;31;36;38;45;46;48;55;56;65;70;74;75;77;82;87;89;90;93;95;96;97;99
E,unique,5.16328720427,5.16328720427,0.5,11,6;11;15;38;45;48;65;70;77;90;97
E,unique,3.45682389182,3.45682389182,0.5,12,6;11;12;15;38;45;48;65;70;77;90;97
E,unique,2.36667436145,2.36667436145,0.5,13,6;11;12;15;25;38;45;48;65;70;77;90;97
E,unique,1.969406538,1.969406538,0.5,14,6;11;12;15;25;38;45;46;48;65;70;77;90;97
E,unique,1.50069227091,1.50069227091,0.5,15,5;6;11;12;15;25;38;45;46;48;65;70;77;90;97
E,unique,1.18333689212,1.18333689212,0.5,16,5;6;10;11;12;15;25;38;45;46;48;65;70;77;90;97
E,unique,0.986348691316,0.986348691316,0.5,17,5;6;10;11;12;15;25;38;45;46;48;65;70;77;90;93;97
E,unique,0.86761043104,0.86761043104,0.5,18,5;6;10;11;12;15;25;38;45;46;48;65;70;75;77;90;93;97
E,unique,2.29036910766,2.29036910766,0.5,19,1;5;6;10;11;12;15;25;38;45;46;48;65;70;75;77;90;93;97
E,unique,2.05356000374,2.05356000374,0.5,20,1;5;6;10;11;12;15;25;38;45;46;48;55;65;70;75;77;90;93;97
E,unique,1.70828157341,1.70828157341,0.5,21,1;5;6;10;11;12;15;25;38;45;46;48;55;65;70;75;77;90;93;96;97
E,unique,1.37975032959,1.37975032959,0.5,22,1;5;6;10;11;12;15;25;38;45;46;48;55;65;70;75;77;82;90;93;96;97
E,unique,1.53801887649,1.53801887649,0.5,23,1;5;6;10;11;12;15;25;38;45;46;48;55;65;70;75;77;82;90;93;95;96;97
E,unique,1.57479280859,1.57479280859,0.5,24,1;5;6;10;11;12;15;25;36;38;45;46;48;55;65;70;75;77;82;90;93;95;96;97
E,unique,2.32562221823,2.32562221823,0.5,25,1;5;6;10;11;12;15;25;36;38;45;46;48;55;65;70;74;75;77;82;90;93;95;96;97
E,unique,2.02158579029,2.02158579029,0.5,26,1;5;6;10;11;12;15;25;36;38;45;46;48;55;65;70;74;75;77;82;89;90;93;95;96;97
E,unique,1.93238466488,1.93238466488,0.5,27,1;5;6;10;11;12;15;25;36;38;45;46;48;55;65;70;74;75;77;82;87;89;90;93;95;96;97
E,unique,2.06358689571,2.06358689571,0.5,28,1;5;6;10;11;12;15;25;36;38;45;46;48;55;65;70;74;75;77;82;87;89;90;93;95;96;97;99
E,unique,3.08747805211,3.08747805211,0.5,29,1;2;5;6;10;11;12;15;25;36;38;45;46;48;55;65;70;74;75;77;82;87;89;90;93;95;96;97;99
E,unique,2.76306165984,2.76306165984,0.5,30,1;2;5;6;10;11;12;15;25;36;38;45;46;48;55;56;65;70;74;75;77;82;87;89;90;93;95;96;97;99
E,unique,4.05850098649,4.05850098649,0.5,31,1;2;5;6;10;11;12;14;15;25;36;38;45;46;48;55;56;65;70;74;75;77;82;87;89;90;93;95;96;97;99
E,unique,3.70533612964,3.70533612964,0.5,32,1;2;5;6;10;11;12;14;15;25;28;36;38;45;46;48;55;56;65;70;74;75;77;82;87;89;90;93;95;96;97;99
E,unique,3.41736739082,3.41736739082,0.5,33,1;2;5;6;10;11;12;14;15;19;25;28;36;38;45;46;48;55;56;65;70;74;75;77;82;87;89;90;93;95;96;97;99
E,unique,3.02912961423,3.02912961423,0.5,34,1;2;5;6;10;11;12;14;15;19;25;28;36;38;45;46;48;52;55;56;65;70;74;75;77;82;87;89;90;93;95;96;97;99
E,unique,2.82419117773,2.82419117773,0.5,35,1;2;5;6;10;11;12;14;15;19;25;28;36;38;45;46;48;52;55;56;65;70;74;75;77;82;87;88;89;90;93;95;96;97;99
E,unique,6.65075865591,6.65075865591,0.5,10,6;15;38;45;48;65;70;77;90;97
E,unique,4.00903455257,4.00903455257,0.5,11,6;12;15;38;45;48;65;70;77;90;97
E,unique,2.72161735211,2.72161735211,0.5,12,6;12;15;25;38;45;48;65;70;77;90;97
E,unique,2.26760676386,2.26760676386,0.5,13,6;12;15;25;38;45;46;48;65;70;77;90;97
E,unique,1.7153637553,1.7153637553,0.5,14,5;6;12;15;25;38;45;46;48;65;70;77;90;97
E,unique,1.37476656125,1.37476656125,0.5,15,5;6;10;12;15;25;38;45;46;48;65;70;77;90;97
E,unique,1.16174422572,1.16174422572,0.5,16,5;6;10;12;15;25;38;45;46;48;65;70;77;90;93;97
