provider,pE,pN
E,2.57623778828,0.5
E,2.584336814842,0.5
E,2.584619759032,0.5
E,2.590834370646,0.5
E,2.59208281148,0.5
E,2.592203357816,0.5
E,2.593070723492,0.5
E,2.598793741886,0.5
E,2.612881579321,0.5
E,2.614378384322,0.5
E,2.615120386137,0.5
E,2.627239664227,0.5
E,2.628628823097,0.5
E,2.633953325215,0.5
E,2.648907206895,0.5
E,2.652005721613,0.5
E,2.657493714347,0.5
E,2.658794660578,0.5
E,2.664312051904,0.5
E,2.664479305937,0.5
E,2.669519094104,0.5
E,2.671486768158,0.5
E,2.697327783707,0.5
E,2.703837143753,0.5
E,2.706869489437,0.5
E,2.709351291787,0.5
E,2.72161735211,0.5
E,2.736054562792,0.5
E,2.744538249709,0.5
E,2.756739489391,0.5
E,2.760767797347,0.5
E,2.763061659841,0.5
E,2.764033474397,0.5
E,2.779581131813,0.5
E,2.807594356048,0.5
E,2.824191177726,0.5
E,2.838911340531,0.5
E,2.846900188902,0.5
E,2.848296093193,0.5
E,2.85029396779,0.5
E,2.866153380053,0.5
E,2.868141323348,0.5
E,2.86845287971,0.5
E,2.88050668593,0.5
E,2.887796727197,0.5
E,2.904908750591,0.5
E,2.90670086187,0.5
E,2.914888715222,0.5
E,2.93452880295,0.5
E,2.934633198194,0.5
E,2.937170065657,0.5
E,2.937565298493,0.5
E,2.942226836804,0.5
E,2.947042510084,0.5
E,2.948509235726,0.5
E,2.95148819644,0.5
E,2.961580404224,0.5
E,2.965983361594,0.5
E,2.967699666778,0.5
E,2.973975128188,0.5
E,2.984785630882,0.5
E,3.005031763654,0.5
E,3.017935766483,0.5
E,3.019725758743,0.5
E,3.026962713206,0.5
E,3.029129614226,0.5
E,3.042091414433,0.5
E,3.044333420359,0.5
E,3.046827026926,0.5
E,3.068774047945,0.5
E,3.075241286599,0.5
E,3.087478052112,0.5
E,3.095301336285,0.5
E,3.104796768185,0.5
E,3.117472840165,0.5
E,3.148691524031,0.5
E,3.149256794268,0.5
E,3.155354239085,0.5
E,3.155546841567,0.5
E,3.177048878632,0.5
E,3.185714043144,0.5
E,3.194141791716,0.5
E,3.196139444813,0.5
E,3.197152650786,0.5
E,3.20456568568,0.5
E,3.206219996317,0.5
E,3.218485724184,0.5
E,3.218531005209,0.5
E,3.249247004327,0.5
E,3.253572376505,0.5
E,3.266807976785,0.5
E,3.266909316182,0.5
E,3.27239140687,0.5
E,3.27254663566,0.5
E,3.283091194621,0.5
E,3.312595025677,0.5
E,3.325529757641,0.5
E,3.329141087122,0.5
E,3.330275104982,0.5
E,3.333977687013,0.5
E,3.350503875294,0.5
E,3.366770898001,0.5
E,3.380182230158,0.5
E,3.404975822997,0.5
E,3.406235794738,0.5
E,3.417367390823,0.5
E,3.429908928071,0.5
E,3.433485490021,0.5
E,3.437523565502,0.5
E,3.438738337966,0.5
E,3.447354770238,0.5
E,3.456823891822,0.5
E,3.456869135206,0.5
E,3.477460996649,0.5
E,3.51652756844,0.5
E,3.531623923144,0.5
E,3.533562575267,0.5
E,3.544677313913,0.5
E,3.559303560252,0.5
E,3.560552974051,0.5
E,3.56661612722,0.5
E,3.574079619154,0.5
E,3.574149150217,0.5
E,3.631006304172,0.5
E,3.653021234965,0.5
E,3.673864474857,0.5
E,3.687068249947,0.5
E,3.705336129638,0.5
E,3.70693550477,0.5
E,3.71805695995,0.5
E,3.738857078929,0.5
E,3.772948850784,0.5
E,3.785131759833,0.5
E,3.800029815534,0.5
E,3.821484109744,0.5
E,3.846129314925,0.5
E,3.849097460555,0.5
E,3.862744604626,0.5
E,3.882987254606,0.5
E,3.887446368652,0.5
E,3.915294252977,0.5
E,3.916297898481,0.5
E,3.931025096727,0.5
E,3.985141418454,0.5
E,3.988682123521,0.5
E,3.999098919339,0.5
E,4.009034552565,0.5
E,4.018176827647,0.5
E,4.048284055547,0.5
E,4.053637887596,0.5
E,4.058500986493,0.5
E,4.076495384491,0.5
E,4.088601251368,0.5
E,4.106040676279,0.5
E,4.130803303288,0.5
E,4.210627528391,0.5
E,4.251273384964,0.5
E,4.2747118758,0.5
E,4.29512589305,0.5
E,4.303541055602,0.5
E,4.422798187473,0.5
E,4.428675793103,0.5
E,4.484705532581,0.5
E,4.485912808293,0.5
E,4.506838298681,0.5
E,4.513198534061,0.5
E,4.516853724685,0.5
E,4.543642113008,0.5
E,4.6415953701,0.5
E,4.710218289905,0.5
E,4.719402122833,0.5
E,4.832221983185,0.5
E,4.853396862328,0.5
E,4.870376765257,0.5
E,4.968674656869,0.5
E,5.000245732646,0.5
E,5.090602426739,0.5
E,5.095675167801,0.5
E,5.098545014895,0.5
E,5.122555554391,0.5
E,5.163287204267,0.5
E,5.177682562275,0.5
E,5.281638224522,0.5
E,5.310040150717,0.5
E,5.390701932774,0.5
E,5.454818662426,0.5
E,5.638529051848,0.5
E,5.780669944073,0.5
E,5.881335085444,0.5
E,6.036194836314,0.5
E,6.312531535344,0.5
E,6.446100160101,0.5
E,6.609260432471,0.5
E,6.650758655915,0.5
E,6.701822586445,0.5
E,6.777699385613,0.5
E,7.174014332311,0.5
E,7.220148602378,0.5
E,7.667353405298,0.5
E,7.831136371955,0.5
E,8.097232608868,0.5
E,8.209864123575,0.5
E,8.680746323033,0.5
E,9.207189411912,0.5
E,9.270770427461,0.5
E,9.442609095415,0.5
E,9.69672244428,0.5
E,9.941430040384,0.5
E,10.546566847815,0.5
E,12.288176912622,0.5
E,12.323079222698,0.5
E,13.349100671878,0.5
E,17.034347653219,0.5
E,17.174745582927,0.5
E,19.152601374976,0.5
N,0.5,3.678444501123
N,0.5,3.763014701451
N,0.5,3.867790507302
N,0.5,3.873330502517
N,0.5,3.883446500853
N,0.5,3.890746436491
N,0.5,3.90135149071
N,0.5,3.921588887257
N,0.5,3.923105206142
N,0.5,3.937817664004
N,0.5,3.949412677079
N,0.5,4.031004477076
N,0.5,4.044281081582
N,0.5,4.048041969808
N,0.5,4.169490190782
N,0.5,4.169623090353
N,0.5,4.180011274951
N,0.5,4.18203200044
N,0.5,4.210431561294
N,0.5,4.214621407281
N,0.5,4.217960691861
N,0.5,4.227447836004
N,0.5,4.278193240821
N,0.5,4.294598179795
N,0.5,4.325179363682
N,0.5,4.338620304384
N,0.5,4.348009439468
N,0.5,4.353693342814
N,0.5,4.355195260012
N,0.5,4.363343778261
N,0.5,4.364344645193
N,0.5,4.39208570762
N,0.5,4.401827065635
N,0.5,4.468394750644
N,0.5,4.491427038057
N,0.5,4.512143367423
N,0.5,4.514717137434
N,0.5,4.525994064609
N,0.5,4.526946411169
N,0.5,4.53725909655
N,0.5,4.554395563885
N,0.5,4.579456943315
N,0.5,4.595671302491
N,0.5,4.636933760967
N,0.5,4.639763638111
N,0.5,4.645008113843
N,0.5,4.675985735217
N,0.5,4.679209997215
N,0.5,4.715024462355
N,0.5,4.735813175759
N,0.5,4.736555125534
N,0.5,4.751995779434
N,0.5,4.756225113318
N,0.5,4.782347912817
N,0.5,4.788954383327
N,0.5,4.789314435249
N,0.5,4.795122972075
N,0.5,4.807333023463
N,0.5,4.820755534387
N,0.5,4.828167842376
N,0.5,4.851229165686
N,0.5,5.004286534545
N,0.5,5.004946212285
N,0.5,5.018701539656
N,0.5,5.034131967303
N,0.5,5.047026384674
N,0.5,5.063415260849
N,0.5,5.156258221683
N,0.5,5.159231017263
N,0.5,5.207469498136
N,0.5,5.215470544309
N,0.5,5.24994442183
N,0.5,5.254521755133
N,0.5,5.374229082149
N,0.5,5.404023991094
N,0.5,5.520127031334
N,0.5,5.678149511883
N,0.5,5.763392280343
N,0.5,5.784712917625
N,0.5,5.792432371397
N,0.5,5.81246714464
N,0.5,5.835739175054
N,0.5,5.931824502479
N,0.5,5.961865822051
N,0.5,5.968079251113
N,0.5,5.982611373288
N,0.5,5.992114735083
N,0.5,6.006413640594
N,0.5,6.058589768666
N,0.5,6.103269894655
N,0.5,6.117489725378
N,0.5,6.526051127239
N,0.5,6.539358269677
N,0.5,6.562694128325
N,0.5,6.58577434247
N,0.5,6.694724366601
N,0.5,6.707332798915
N,0.5,6.719759124029
N,0.5,6.754470832074
N,0.5,6.789650224114
N,0.5,6.795346052145
N,0.5,6.814977657293
N,0.5,6.864235758373
N,0.5,6.87931305661
N,0.5,7.060224341699
N,0.5,7.152112563315
N,0.5,7.429745382123
N,0.5,7.546147207063
N,0.5,7.574670560495
N,0.5,7.591389360824
N,0.5,7.602449055698
N,0.5,7.623710802591
N,0.5,7.633145722097
N,0.5,7.663648630146
N,0.5,7.713006080448
N,0.5,7.759539191347
N,0.5,7.776797531087
N,0.5,8.095810283718
N,0.5,8.194504562355
N,0.5,8.246609953279
N,0.5,8.249624598491
N,0.5,8.276830728023
N,0.5,8.280430635472
N,0.5,8.291425038663
N,0.5,8.307733614967
N,0.5,8.308083144755
N,0.5,8.348394385106
N,0.5,8.363631421807
N,0.5,8.431095464722
N,0.5,8.666767955177
N,0.5,8.712498504363
N,0.5,8.726493497233
N,0.5,8.730109163258
N,0.5,8.737301843736
N,0.5,9.030925281092
N,0.5,9.039448849724
N,0.5,9.353103064316
N,0.5,9.411273644178
N,0.5,9.458410617302
N,0.5,9.681757640646
N,0.5,9.731259256987
N,0.5,9.97051316305
N,0.5,10.066435141522
N,0.5,10.45608745155
N,0.5,10.504199643599
N,0.5,10.512482482751
N,0.5,10.516790346408
N,0.5,10.545526554504
N,0.5,10.586006824252
N,0.5,10.683975905953
N,0.5,10.726098395536
N,0.5,10.733508966854
N,0.5,10.747815882272
N,0.5,10.750243757766
N,0.5,10.756791793916
N,0.5,10.758994081862
N,0.5,10.777316375115
N,0.5,10.798185087446
N,0.5,10.800781795565
N,0.5,10.806378478676
N,0.5,10.823288064834
N,0.5,10.832460502065
N,0.5,10.94496724945
N,0.5,10.970110220997
N,0.5,11.003303035881
N,0.5,11.034037208888
N,0.5,11.046215446144
N,0.5,11.074511929223
N,0.5,11.079962068128
N,0.5,11.081414583707
N,0.5,11.097246970218
N,0.5,11.115127542992
N,0.5,11.123426992018
N,0.5,11.134087729855
N,0.5,11.173980108505
N,0.5,11.236693973633
N,0.5,11.280233460917
N,0.5,11.289496176097
N,0.5,11.29802272494
N,0.5,11.301009607228
