method,n_users,trial,success,final_pE,final_pN,offloading_size,restricted_gap,final_grid_ne_gap,final_grid_ne_gap_source,esp_revenue,nsp_revenue,joint_revenue,runtime_sec,stage2_solver_calls,audit_stage2_solver_calls,total_stage2_solver_calls,error
Proposed,1800,9,1,6.696792986195949,6.653496140791921,24,0.0,0.0,restricted_gap_zero_certified,331.4669247630132,239.78041175736865,571.2473365203819,118.74648889992386,67,0,67,
Proposed,1800,10,1,6.826391469165334,5.044102098148448,22,0.0,0.0,restricted_gap_zero_certified,307.338581534672,201.3640839259379,508.7026654606099,66.79328650049865,43,0,43,
Proposed,2000,1,1,6.3770321516650785,7.596349006846605,31,0.0,0.0,restricted_gap_zero_certified,416.3451231098835,303.4539602738642,719.7990833837478,150.1458839001134,67,0,67,
Proposed,2000,2,1,7.326683461923303,5.436286600455851,23,0.0,0.0,restricted_gap_zero_certified,332.61695678854124,217.05146401823407,549.6684208067753,118.90005009993911,73,0,73,
Proposed,2000,3,1,7.70465555149787,5.531932446223399,24,0.0,0.0,restricted_gap_zero_certified,369.01926323735745,220.87729784893597,589.8965610862934,63.35685160011053,37,0,37,
Proposed,2000,4,1,7.374508462007419,5.609539758761272,28,0.0,0.0,restricted_gap_zero_certified,401.9081172756156,223.98159035045086,625.8897076260664,143.45804509986192,67,0,67,
Proposed,2000,5,1,9.287745827355542,5.2463720831348315,26,0.0,0.0,restricted_gap_zero_certified,430.1417013427059,204.04222136049407,634.1839227032,115.0847779000178,55,0,55,
Proposed,2000,6,1,8.738548312828602,5.6609616656820725,25,0.0,0.0,restricted_gap_zero_certified,410.21743906068446,226.03846662728296,636.2559056879675,68.28846519999206,37,0,37,
Proposed,2000,7,1,6.98980372931609,5.357396760442018,24,0.0,0.0,restricted_gap_zero_certified,338.4076482468446,212.13990430773202,550.5475525545767,108.5553406002,61,0,61,
Proposed,2000,8,1,8.418472777788773,4.979227107734384,23,0.0,0.0,restricted_gap_zero_certified,366.66247836844025,198.7690843093754,565.4315626778157,102.8964655995369,79,0,79,
Proposed,2000,9,1,7.463074681232482,5.875580946700124,25,0.0,0.0,restricted_gap_zero_certified,369.0911715336782,231.7330044049294,600.8241759386076,64.65724689979106,37,0,37,
Proposed,2000,10,1,7.79211873753392,5.961334418723663,25,0.0,0.0,restricted_gap_zero_certified,383.7274011469671,238.0533767489465,621.7807778959136,66.87742029968649,79,0,79,
