figure_id,block,method,n_users,trial,social_cost,esp_revenue,nsp_revenue,joint_revenue,comp_utilization,band_utilization,final_pE,final_pN,offloading_size,restricted_gap
E2,E,Rand,40,3,823.6210542571444,15.428371205320133,10.38854627349699,25.816917478817125,0.439062682146037,0.8033003526756385,0.8869136020454784,0.8869136020454784,5,66.35212752205754
E2,E,Full model,40,4,879.8445987859116,62.80145944391146,50.499566171039675,113.30102561495113,0.1336649556949363,0.7467311175555602,4.708423690592716,1.700687751715472,6.0,0.0
E2,E,ME,40,4,695.2814404590129,31.660311237449726,19.6,51.26031123744973,0.3592640944381742,0.9761080504561654,0.32700532106455854,0.5,12.0,104.31948141368386
E2,E,SingleSP,40,4,643.859660109359,240.75930468820675,0.0,240.75930468820675,0.11528681834418039,0.1446900422080491,0.01,0.01,12.0,147.42704504401996
E2,E,Coop,40,4,840.6790759329667,40.87636304903832,110.34389481184404,151.22025786088236,0.5459280540773064,0.7894864880408587,0.75875,3.504166666666667,10.0,3.926769793760407
E2,E,Rand,40,4,883.9303460000399,9.731983412594714,6.41415573931325,16.146139151907963,0.3285321617516104,0.7783541275502953,1.1363261632250308,1.1363261632250308,2,90.51046532311265
E2,E,Full model,40,5,864.9667379795806,66.73571937041872,43.182573896254915,109.91829326667363,0.2636033578173036,0.8498134966140874,2.5416718240240117,1.2803544386005656,9.0,0.0
E2,E,ME,40,5,731.1527194957976,31.835854840941277,19.6,51.435854840941275,0.610107845043313,0.875531322415289,0.3287916927405252,0.5,12.0,83.78023329488929
E2,E,SingleSP,40,5,679.6736109194281,241.3576834552672,0.0,241.3576834552672,0.17543936214056544,0.04480004019897259,0.01,0.01,12.0,121.78579458381941
E2,E,Coop,40,5,817.4540203739991,40.057655969849336,89.85000000000001,129.90765596984934,0.7322679854942584,0.9440706213626072,0.5091666666666667,2.25625,12.0,10.285974145680399
E2,E,Rand,40,5,864.2798111988701,5.607529417826139,1.9336816825439151,7.541211100370054,0.47131843978596094,0.8234959834670811,0.2926268287133672,0.2926268287133672,4,84.20813432175166
E2,E,Full model,40,6,887.5952018327014,60.65252478629682,65.29026715457047,125.9427919408673,0.264085377849635,0.9867279882970822,2.306701365299792,1.6642113918155375,8.0,0.0
E2,E,ME,40,6,749.6811503980607,34.29510635758957,19.6,53.89510635758957,0.5225417382838664,0.8306361432831733,0.35336786119567687,0.5,13.0,96.33106666217967
E2,E,SingleSP,40,6,695.7444163449735,252.3563806344155,0.0,252.3563806344155,0.9852474718596247,0.12953613318539373,0.01,0.01,13.0,133.00884472575905
E2,E,Coop,40,6,872.3478551375468,24.958333333333332,118.0478375403754,143.00617087370873,0.9368311210809401,0.7046896492403437,0.25958333333333333,4.003333333333334,11.0,10.810818803822844
E2,E,Rand,40,6,939.7769341005045,13.752308564652617,7.008010744813042,20.760319309465658,0.33397966473849183,0.6929310943435707,0.8672991485862221,0.8672991485862221,4,74.13156726545114
E2,E,Full model,40,7,877.5396348879033,54.651342440156604,73.93273787646032,128.58408031661693,0.23655275267970244,0.9235906995064024,2.3203236728830507,2.0112311166616452,7.0,0.0
E2,E,ME,40,7,730.9501054936301,29.162725246127334,19.6,48.76272524612733,0.5020222232460587,0.9988168463702743,0.3020500750802496,0.5,11.0,106.84326109321884
E2,E,SingleSP,40,7,682.1451612968317,251.63912859447115,0.0,251.63912859447115,0.1489018780834309,0.21262688561406348,0.01,0.01,11.0,141.7969663568844
E2,E,Coop,40,7,826.903494630165,24.95833333333333,119.80000000000001,144.75833333333333,0.9961361853748042,0.9545843049241437,0.25958333333333333,3.005,11.0,23.581803616075142
E2,E,Rand,40,7,896.531478143716,14.239212113699105,6.993800115013279,21.233012228712383,0.36030930881672824,0.7390894544015966,0.5130886215879423,0.5130886215879423,6,81.19986221430293
E2,E,Full model,40,8,752.7735946558729,44.054229393121865,55.65260245231119,99.70683184543306,0.29869206770533163,0.9049328314569361,1.3260789638994777,1.4013150613077798,8.0,0.0
E2,E,ME,40,8,661.9878810795335,24.882311447778275,19.6,44.48231144777827,0.5274659994609903,0.854534126275834,0.25923933621915946,0.5,11.0,71.40954290689214
E2,E,SingleSP,40,8,617.4640197541141,193.12661143216974,0.0,193.12661143216974,0.526557865293225,0.9920154276899469,0.01,0.01,11.0,104.60356150547449
E2,E,Coop,40,8,741.0716788015503,31.909405418546704,79.86666666666666,111.77607208521337,0.5810811341079223,0.8642470167200347,0.5091666666666667,2.006666666666667,10.0,3.060121001305628
E2,E,Rand,40,8,803.8392312664569,1.7528535726695715,0.536406481417687,2.2892600540872587,0.3589087660518316,0.9053206900165627,0.17617411347042064,0.17617411347042064,3,53.63893636057194
E2,E,Full model,40,9,942.8766337867942,77.41977559007124,44.82129562990181,122.24107121997305,0.15824581419827127,0.9623071866385338,4.902374309065105,1.1744227605342044,7.0,0.0
E2,E,ME,40,9,763.7514064895529,29.113109407490928,19.6,48.71310940749093,0.6437642829492027,0.7009314772806915,0.3015274997679686,0.5,12.0,100.5969205417567
E2,E,SingleSP,40,9,714.998712263111,261.12032395553337,0.0,261.12032395553337,0.213874889792042,0.3278711165131677,0.01,0.01,12.0,130.5272375806123
E2,E,Coop,40,9,920.5569280053502,33.31929850755148,114.36511079530983,147.6844093028613,0.6674984675970245,0.636422430691763,0.5091666666666667,4.5025,10.0,0.24939883852403
