trial,seed,n_users,v_algorithm2,v_optimal,v_empty,empirical_ratio,theorem2_bound,optimal_offloading_size
15,20274016,12,167.21274456476496,183.135243912842,237.3547254131976,0.9130560616958313,1.7417377895730157,6
16,20274017,12,184.11179681219778,196.59114296696802,259.5774350216422,0.936521320511031,1.55034795303071,5
17,20274018,12,189.65347051189624,208.91009923530035,287.46941330776286,0.9078233709433314,1.566351481546877,5
18,20274019,12,164.52718968256048,175.97740953784546,303.57438138173893,0.9349335810468189,7.345038994996472,7
19,20274020,12,168.28989320804848,178.9569669510646,294.12236193026814,0.940393079270655,2.170933214075813,7
0,20276001,14,244.25602580612053,324.50576580917635,382.0022916024551,0.7527016513776024,1.5141057778208968,5
1,20276002,14,242.42576294914866,242.91786173750896,349.75298564487605,0.9979742173554449,1.7543480540597354,7
2,20276003,14,222.3549807268339,222.35498113943345,321.77878990834796,0.9999999981444105,1.6149085208478386,7
3,20276004,14,240.86819672459023,269.51643518285226,341.4903496395601,0.8937050408861865,1.6171215812372417,6
4,20276005,14,221.4654771672059,265.2297554577394,314.78722395695786,0.8349948397946373,1.379263960148852,5
5,20276006,14,212.52896778454306,220.07556935951436,335.5528176875121,0.9657090444117257,2.39734145364265,8
6,20276007,14,204.31887074457597,269.4427299717514,315.48499434821395,0.7583016649437783,1.2691611272306864,3
7,20276008,14,214.33905275956772,254.799167604196,266.8404707707987,0.8412078217324522,1.1416736165195627,3
8,20276009,14,209.7566369680422,234.0269994145345,252.37338982927713,0.8962924683595932,1.0802894771119844,2
9,20276010,14,215.30556894932616,229.1365307107177,328.12844348485527,0.9396387746707531,4.301488041779978,6
10,20276011,14,181.80477948548344,201.28166202888295,279.0462369174744,0.9032356830370137,2.109143534473339,7
11,20276012,14,215.36255666966548,234.04423507801772,390.47603411091,0.9201788567784002,2.56026359028637,6
12,20276013,14,208.31492223213732,247.07441845728295,304.1257616852218,0.8431262270405918,1.2380546512105097,4
13,20276014,14,215.73275598722302,227.47663059694102,311.0862398348273,0.9483732699095292,2.0859271974852254,8
14,20276015,14,251.22493952918472,307.1375130191741,393.48607946719403,0.8179558955844679,2.1356004587538107,5
15,20276016,14,238.18794667466653,303.7295554609665,361.5817580077816,0.7842106320972673,1.7161937364904574,5
16,20276017,14,218.63112886208506,255.4551972361142,389.79375793072035,0.8558492104586423,2.2929686734689954,6
17,20276018,14,203.76226994444485,203.76227073125858,297.3080449538666,0.99999999613857,2.604219173478404,7
18,20276019,14,206.96249332483472,242.4141776940973,313.1455974848747,0.853755730351716,1.8992535810026554,6
19,20276020,14,232.0435561461211,247.07252124641306,381.112691333827,0.9391718470978684,2.7079492377919627,8
0,20278001,16,242.08510964805242,295.22066869905865,358.662369906174,0.8200140956080164,2.1085011354254215,6
1,20278002,16,283.9660779779682,314.27515738251935,397.890338540098,0.9035587806017371,1.6122666438461906,6
2,20278003,16,217.5391387031539,217.53913878186407,346.15961933154654,0.9999999996381792,3.054392057692387,7
3,20278004,16,248.26779042826098,275.0969669613889,403.06953462133174,0.902473746513921,2.2602957041200202,8
4,20278005,16,274.05169965920277,322.3450554023086,394.71746721677783,0.8501811802795224,1.3438316659972067,5
5,20278006,16,245.87795738626266,248.80691588169844,341.05214969291194,0.9882279860065126,1.9390307684178298,6
6,20278007,16,250.11915130737668,272.9497960312748,415.26423095437826,0.9163558828185306,2.305189652299406,8
7,20278008,16,244.90194065795203,274.3898562860384,398.3938192238671,0.8925327778977855,2.406243303139594,7
8,20278009,16,276.3026761126719,310.0608582910117,402.1091609311986,0.891124012349035,1.7337259103054574,6
9,20278010,16,319.76567071039176,5.316150044740669e+35,444.23395049828315,6.014985807760257e-34,2.23257905783453,7
10,20278011,16,275.16667644815493,337.008512420732,410.95447762449265,0.8164977034901368,2.1519093932751234,6
11,20278012,16,223.47932046971135,225.12199277436673,344.84958571680295,0.9927031904594866,6.523133260869527,9
12,20278013,16,290.21321497108534,313.4580453494981,428.31772920428284,0.9258438865319429,2.2456352688163945,8
13,20278014,16,235.33825599009378,244.44560664879992,322.5928541399403,0.9627428335343704,1.9189788580502303,7
14,20278015,16,224.0004369516558,231.44529608821384,337.72967297873254,0.9678331801838803,2.900572266610797,8
15,20278016,16,229.85164072306634,230.3420406398473,335.3275104721589,0.9978709925664515,2.717972058808202,9
16,20278017,16,236.89481375131191,246.26466603159466,385.6643031620587,0.9619521044928117,5.10425659189212,8
17,20278018,16,240.64867465803286,283.7484911529432,363.23824354866093,0.8481055658841227,1.6739552362197818,5
18,20278019,16,246.16256952598388,248.6460876039505,351.0303239574917,0.9900118352880645,2.221233200592453,9
19,20278020,16,242.59588345416256,271.10412975961754,361.833761645398,0.8948439246177008,2.1375830167428838,8
