trial,trial_seed,n_users,ratio,F,B,cE,cN,final_pE,final_pN,price_margin_E,price_margin_N,comp_utilization,band_utilization,offloading_ratio,offloading_size,social_cost,esp_revenue,nsp_revenue,joint_revenue,restricted_gap,outer_iterations,stage2_oracle_calls,runtime_sec,stage1_method,stopping_reason
9,502385,50,3.0,109.54451150103323,36.51483716701107,0.01,0.01,2.656229474809953,1.682157905087941,2.646229474809953,1.672157905087941,0.2646393189973289,1.0,0.18,9,1091.503931269498,76.7136233330423,61.05857362181652,137.77219695485883,0.0,5,49,1.0689698001369834,vbbr_brd,verified_gain_tolerance
9,502385,50,4.0,126.49110640673517,31.622776601683793,0.01,0.01,3.2958804647882154,1.6646507944813997,3.2858804647882156,1.6546507944813997,0.16251658140889375,0.9999999999999999,0.14,7,1106.716558590067,67.54752332876598,52.3246524276839,119.87217575644988,0.0,3,37,1.139100999571383,vbbr_brd,verified_gain_tolerance
10,502386,50,0.5,44.721359549995796,89.44271909999159,0.01,0.01,2.5542240319901692,0.8455543058089195,2.5442240319901694,0.8355543058089195,1.0000000000000002,1.0,0.3,15,982.1115607235353,113.7811577103724,74.73424906725566,188.51540677762807,0.0,13,103,5.731383100152016,vbbr_brd,verified_gain_tolerance
10,502386,50,1.0,63.245553203367585,63.245553203367585,0.01,0.01,2.2316902072541147,1.1577689483121985,2.221690207254115,1.1477689483121984,0.6801450921416664,1.0000000000000002,0.26,13,992.8006401791731,95.56856500972967,72.59128208565241,168.15984709538208,0.0,6,55,2.751183799467981,vbbr_brd,verified_gain_tolerance
10,502386,50,1.5,77.45966692414834,51.63977794943222,0.01,0.01,2.378447525553545,1.6550048269391802,2.3684475255535453,1.6450048269391802,0.37779131955801243,0.7023423613366041,0.18,9,1021.4987938753641,69.30927680277689,59.662356962828035,128.97163376560493,0.0,3,37,1.048850200138986,vbbr_brd,verified_gain_tolerance
10,502386,50,2.0,89.44271909999159,44.721359549995796,0.01,0.01,2.9562802773888257,1.3097317917685072,2.946280277388826,1.2997317917685072,0.2934651879264378,0.9116469416241401,0.18,9,1024.2354535508177,77.3349204038633,52.9901829828219,130.32510338668519,0.0,3,37,1.0229588998481631,vbbr_brd,verified_gain_tolerance
10,502386,50,2.5,100.0,40.0,0.01,0.01,2.3586905210129063,1.6682717533438853,2.3486905210129065,1.6582717533438853,0.2938589391609683,0.9031075486056398,0.18,9,1021.3996424252914,69.01837049222746,59.9039095233749,128.92228001560235,0.0,4,43,1.0251897005364299,vbbr_brd,verified_gain_tolerance
10,502386,50,3.0,109.54451150103323,36.51483716701107,0.01,0.01,1.417098460848826,2.344201286014711,1.407098460848826,2.334201286014711,0.38196285902714916,0.8108594785298553,0.2,10,1011.942206776075,58.87572206117686,69.11196961405973,127.98769167523659,0.0,7,67,1.922856199555099,vbbr_brd,verified_gain_tolerance
10,502386,50,4.0,126.49110640673517,31.622776601683793,0.01,0.01,2.3560088771682,1.6700808597728234,2.3460088771682,1.6600808597728234,0.23244806471291943,1.0,0.18,9,1022.4470473800337,68.97879084634721,52.49636616932715,121.47515701567437,0.0,5,55,1.406941800378263,vbbr_brd,verified_gain_tolerance
11,502387,50,0.5,44.721359549995796,89.44271909999159,0.01,0.01,5.0776897610629375,0.6656991368276839,5.067689761062938,0.6556991368276839,0.6527681228577673,0.9999999999999999,0.26,13,1126.8827114794678,147.9394350190274,58.64751370938547,206.58694872841286,0.0,3,37,1.8529490996152163,vbbr_brd,verified_gain_tolerance
11,502387,50,1.0,63.245553203367585,63.245553203367585,0.01,0.01,2.4932159674016483,1.7814350550492242,2.4832159674016485,1.7714350550492242,0.7160292019142217,0.9340842719212227,0.28,14,1113.078974708962,112.45408141830147,104.65049571663992,217.1045771349414,0.0,5,49,3.0680158007889986,vbbr_brd,verified_gain_tolerance
11,502387,50,1.5,77.45966692414834,51.63977794943222,0.01,0.01,4.205502186188186,1.833251757563335,4.195502186188186,1.823251757563335,0.2924709220585921,0.6954498591436794,0.18,9,1167.4766415781212,95.04784424866328,65.47821483521456,160.52605908387784,0.0,3,37,1.1389207001775503,vbbr_brd,verified_gain_tolerance
11,502387,50,2.0,89.44271909999159,44.721359549995796,0.01,0.01,3.761283553105307,2.086158300471931,3.7512835531053073,2.0761583004719313,0.2710193772189927,0.7498012202084192,0.18,9,1165.826492245179,90.93377684082918,69.61800994888755,160.55178678971674,8.78861201880386,11,79,2.143104599788785,vbbr_brd,cycle_safeguard
