pE,pN,esp_revenue,nsp_revenue,joint_revenue,eps
1.610738255,0.2013422819,110.1826386,7.653691275,117.8363299,143.077175
1.711409396,0.2013422819,113.6154,7.653691275,121.2690913,136.9127517
1.812080537,0.2013422819,116.9474561,7.653691275,124.6011474,132.885906
1.912751678,0.2013422819,114.5190974,7.653691275,122.1727886,129.4215912
2.013422819,0.2013422819,115.1123378,7.653691275,122.7660291,124.8322148
2.11409396,0.2013422819,117.9830824,7.653691275,125.6367736,121.5781663
2.214765101,0.2013422819,114.6820806,7.653691275,122.3357718,118.3710659
2.315436242,0.2013422819,117.2826515,7.653691275,124.9363428,116.7365125
2.416107383,0.2013422819,119.8268003,7.653691275,127.4804916,113.4012138
2.516778523,0.2013422819,122.3180472,7.653691275,129.9717384,111.6986188
2.617449664,0.2013422819,124.7595608,7.653691275,132.4132521,108.2184031
2.718120805,0.2013422819,125.9959852,7.653691275,133.6496765,106.438494
2.818791946,0.2013422819,121.4325359,7.653691275,129.0862272,102.7926599
2.919463087,0.2013422819,123.597123,7.653691275,131.2508143,100.9238469
3.020134228,0.2013422819,125.7244498,7.653691275,133.3781411,99.02230152
3.120805369,0.2013422819,127.8163767,7.653691275,135.470068,95.11371538
3.22147651,0.2013422819,129.874614,7.653691275,137.5283053,92.61744966
3.322147651,0.2013422819,131.9007388,7.653691275,139.55443,90.28669529
3.422818792,0.2013422819,126.3446521,7.653691275,133.9983434,90.28669529
3.523489933,0.2013422819,128.1999289,7.653691275,135.8536202,88.37002623
3.624161074,0.2013422819,130.0287377,7.653691275,137.682429,86.41431495
3.724832215,0.2013422819,131.8321801,7.653691275,139.4858713,84.4170739
3.825503356,0.2013422819,133.611283,7.653691275,141.2649743,80.53691275
3.926174497,0.2013422819,135.3670062,7.653691275,143.0206975,78.91205591
4.026845638,0.2013422819,137.1002478,7.653691275,144.7539391,77.39600848
4.127516779,0.2013422819,127.9108791,7.653691275,135.5645703,77.39600848
4.228187919,0.2013422819,129.4688567,7.653691275,137.1225479,75.85244327
4.32885906,0.2013422819,131.0083082,7.653691275,138.6619995,75.85244327
4.429530201,0.2013422819,132.5298792,7.653691275,140.1835705,74.27980521
4.530201342,0.2013422819,134.0341787,7.653691275,141.6878699,72.67638702
4.630872483,0.2013422819,135.5217816,7.653691275,143.1754729,71.04030747
4.731543624,0.2013422819,124.4776296,7.653691275,132.1313209,69.36948557
4.832214765,0.2013422819,125.8004404,7.653691275,133.4541317,67.66160948
4.932885906,0.2013422819,127.109486,7.653691275,134.7631772,67.66160948
5.033557047,0.2013422819,128.4051871,7.653691275,136.0588784,65.91409901
5.134228188,0.2013422819,129.6879439,7.653691275,137.3416352,64.12405988
5.234899329,0.2013422819,130.9581367,7.653691275,138.6118279,62.28822748
5.33557047,0.2013422819,132.2161275,7.653691275,139.8698188,62.28822748
5.436241611,0.2013422819,133.4622614,7.653691275,141.1159527,60.40289686
5.536912752,0.2013422819,134.6968675,7.653691275,142.3505588,59.96091307
5.637583893,0.2013422819,135.9202599,7.653691275,143.5739512,58.46383484
5.738255034,0.2013422819,137.1327387,7.653691275,144.78643,58.31572587
5.838926174,0.2013422819,138.3345909,7.653691275,145.9882821,56.62845103
5.939597315,0.2013422819,139.526091,7.653691275,147.1797823,56.62845103
6.040268456,0.2013422819,128.7887807,7.653691275,136.4424719,56.62845103
6.140939597,0.2013422819,129.8611158,7.653691275,137.514807,54.89568342
6.241610738,0.2013422819,130.9246683,7.653691275,138.5783596,53.11353242
6.342281879,0.2013422819,131.9796506,7.653691275,139.6333419,53.11353242
6.44295302,0.2013422819,133.0262666,7.653691275,140.6799579,51.27751915
6.543624161,0.2013422819,134.0647122,7.653691275,141.7184035,49.38244387
6.644295302,0.2013422819,135.0951758,7.653691275,142.7488671,49.38244387
6.744966443,0.2013422819,136.1178388,7.653691275,143.77153,47.42221229
6.845637584,0.2013422819,137.1328755,7.653691275,144.7865668,47.42221229
6.946308725,0.2013422819,138.1404541,7.653691275,145.7941454,44.29530201
7.046979866,0.2013422819,139.1407367,7.653691275,146.794428,43.74898352
7.147651007,0.2013422819,140.1338794,7.653691275,147.7875707,43.74898352
7.248322148,0.2013422819,125.8604347,7.653691275,133.514126,41.98236405
7.348993289,0.2013422819,126.73385,7.653691275,134.3875412,41.98236405
7.44966443,0.2013422819,127.601287,7.653691275,135.2549783,41.98236405
7.55033557,0.2013422819,128.4628669,7.653691275,136.1165582,40.15051661
7.651006711,0.2013422819,129.3187067,7.653691275,136.972398,40.15051661
7.751677852,0.2013422819,130.1689197,7.653691275,137.822611,40.15051661
7.852348993,0.2013422819,131.0136154,7.653691275,138.6673067,38.2456356
7.953020134,0.2013422819,131.8528998,7.653691275,139.5065911,38.2456356
8.053691275,0.2013422819,132.6868756,7.653691275,140.3405669,38.2456356
8.154362416,0.2013422819,133.5156423,7.653691275,141.1693336,36.24161074
8.255033557,0.2013422819,134.3392963,7.653691275,141.9929876,36.24161074
8.355704698,0.2013422819,135.1579311,7.653691275,142.8116224,32.72894044
8.456375839,0.2013422819,135.9716373,7.653691275,143.6253286,32.72894044
8.55704698,0.2013422819,136.7805028,7.653691275,144.4341941,31.69608914
8.657718121,0.2013422819,137.5846132,7.653691275,145.2383044,31.69608914
8.758389262,0.2013422819,121.131785,7.653691275,128.7854763,30.63538981
8.859060403,0.2013422819,121.8275381,7.653691275,129.4812294,29.54446086
8.959731544,0.2013422819,122.5193403,7.653691275,130.1730316,29.54446086
9.060402685,0.2013422819,123.2072581,7.653691275,130.8609494,28.42056056
9.161073826,0.2013422819,123.8913563,7.653691275,131.5450476,28.42056056
9.261744966,0.2013422819,124.5716978,7.653691275,132.225389,27.26050594
9.362416107,0.2013422819,125.2483437,7.653691275,132.902035,27.26050594
9.463087248,0.2013422819,125.9213537,7.653691275,133.575045,26.89157572
9.563758389,0.2013422819,126.5907858,7.653691275,134.2444771,26.06056643
9.66442953,0.2013422819,127.2566965,7.653691275,134.9103877,26.06056643
9.765100671,0.2013422819,127.9191406,7.653691275,135.5728319,24.81632217
9.865771812,0.2013422819,128.5781718,7.653691275,136.2318631,24.81632217
9.966442953,0.2013422819,129.2338424,7.653691275,136.8875337,23.52247138
10.06711409,0.2013422819,129.8862031,7.653691275,137.5398944,23.52247138
