trial,seed,n_users,iteration,offloading_size,social_cost
6,20361007,100,1,1,2126.1396912833143
6,20361007,100,2,2,2095.092334264035
6,20361007,100,3,3,2067.052546888849
6,20361007,100,4,4,2039.1258500372244
6,20361007,100,5,5,2013.7257068201434
6,20361007,100,6,6,1990.7315372380635
6,20361007,100,7,7,1970.7685825156782
6,20361007,100,8,8,1953.433606896272
6,20361007,100,9,9,1936.8666950969366
6,20361007,100,10,10,1921.9480835262343
6,20361007,100,11,11,1909.8729643236998
6,20361007,100,12,12,1898.9455494893455
6,20361007,100,13,13,1890.8026807234294
6,20361007,100,14,14,1884.11567764231
6,20361007,100,15,15,1879.9921447259303
6,20361007,100,16,16,1877.5067172822792
6,20361007,100,17,17,1876.7707669641065
7,20361008,100,0,0,2505.775414049215
7,20361008,100,1,1,2467.9351777106162
7,20361008,100,2,2,2430.785652136931
7,20361008,100,3,3,2394.940918659647
7,20361008,100,4,4,2362.9429879947575
7,20361008,100,5,5,2334.5276367540055
7,20361008,100,6,6,2307.65508175393
7,20361008,100,7,7,2283.843090564777
7,20361008,100,8,8,2263.371025396313
7,20361008,100,9,9,2245.067438514299
7,20361008,100,10,10,2229.8958955192124
7,20361008,100,11,11,2217.215124323893
7,20361008,100,12,12,2206.2660354934646
7,20361008,100,13,13,2196.81201823655
7,20361008,100,14,14,2188.2394494617174
7,20361008,100,15,15,2180.95509953708
7,20361008,100,16,16,2175.25742939177
7,20361008,100,17,17,2171.1405938936073
7,20361008,100,18,18,2168.7112394227775
7,20361008,100,19,18,2168.7112394227775
7,20361008,100,20,18,2168.7112394227775
8,20361009,100,0,0,2420.712249956876
8,20361009,100,1,1,2387.8211397456357
8,20361009,100,2,2,2355.4861767038637
8,20361009,100,3,3,2323.7884141331583
8,20361009,100,4,4,2292.2928991664344
8,20361009,100,5,5,2261.575827025149
8,20361009,100,6,6,2231.2385125241412
8,20361009,100,7,7,2204.6282227977804
8,20361009,100,8,8,2178.6429542566993
8,20361009,100,9,9,2155.585497218318
8,20361009,100,10,10,2134.056697547944
8,20361009,100,11,11,2115.1666856477177
8,20361009,100,12,12,2098.0343447990954
8,20361009,100,13,13,2083.349497649588
8,20361009,100,14,14,2071.753392802356
8,20361009,100,15,15,2062.635163078956
8,20361009,100,16,16,2056.245995482138
8,20361009,100,17,17,2051.9956609810206
8,20361009,100,18,18,2050.210093008144
8,20361009,100,19,18,2050.210093008144
8,20361009,100,20,18,2050.210093008144
9,20361010,100,0,0,2433.7377290779573
9,20361010,100,1,1,2390.2071511761965
9,20361010,100,2,2,2349.44205545792
9,20361010,100,3,3,2312.0553561896522
9,20361010,100,4,4,2278.1762055042036
9,20361010,100,5,5,2246.191326278855
9,20361010,100,6,6,2220.3033764620777
9,20361010,100,7,7,2197.9430158141627
9,20361010,100,8,8,2179.5601154880364
9,20361010,100,9,9,2165.589967808023
9,20361010,100,10,10,2153.8018187347266
9,20361010,100,11,11,2143.8157665243243
9,20361010,100,12,12,2135.3123325424144
9,20361010,100,13,13,2128.6540879859635
9,20361010,100,14,14,2122.5595869442186
9,20361010,100,15,15,2120.559718507953
0,20461001,200,0,0,4634.951217984541
0,20461001,200,1,1,4595.686224640963
0,20461001,200,2,2,4558.605462244021
0,20461001,200,3,3,4522.895857509195
0,20461001,200,4,4,4488.039744769527
0,20461001,200,5,5,4454.482419458249
0,20461001,200,6,6,4422.177133116103
0,20461001,200,7,7,4395.183483819204
0,20461001,200,8,8,4369.208149774146
0,20461001,200,9,9,4345.930300015552
0,20461001,200,10,10,4327.976927086703
0,20461001,200,11,11,4310.31405667432
0,20461001,200,12,12,4297.4478921583805
0,20461001,200,13,13,4286.590759647845
0,20461001,200,14,14,4277.703411008785
0,20461001,200,15,15,4269.646849260695
0,20461001,200,16,16,4263.48461581011
0,20461001,200,17,17,4258.915178260273
0,20461001,200,18,18,4257.069132637027
0,20461001,200,19,19,4256.539329102118
1,20461002,200,0,0,4686.954161768659
1,20461002,200,1,1,4638.677019486356
1,20461002,200,2,2,4592.122917091298
1,20461002,200,3,3,4553.809375463074
1,20461002,200,4,4,4519.526279011752
1,20461002,200,5,5,4489.848012565097
1,20461002,200,6,6,4461.958885396175
1,20461002,200,7,7,4435.057420666709
1,20461002,200,8,8,4410.90618817839
1,20461002,200,9,9,4388.767590630475
1,20461002,200,10,10,4368.063978876039
1,20461002,200,11,11,4348.480258250542
1,20461002,200,12,12,4329.654831677499
1,20461002,200,13,13,4311.984801728318
1,20461002,200,14,14,4295.192354322004
1,20461002,200,15,15,4280.3467285528595
1,20461002,200,16,16,4267.759118037672
1,20461002,200,17,17,4257.6506140360425
1,20461002,200,18,18,4248.870848473951
1,20461002,200,19,19,4242.277008043258
1,20461002,200,20,20,4237.311360898115
1,20461002,200,21,21,4233.8155809785985
1,20461002,200,22,22,4232.779389649203
2,20461003,200,0,0,4521.232872042452
2,20461003,200,1,1,4470.020528174609
2,20461003,200,2,2,4422.103990099463
2,20461003,200,3,3,4376.629855659497
2,20461003,200,4,4,4339.047893986467
2,20461003,200,5,5,4303.653127747566
2,20461003,200,6,6,4272.998251624776
2,20461003,200,7,7,4245.04896554645
2,20461003,200,8,8,4219.124461493374
2,20461003,200,9,9,4196.017217459383
2,20461003,200,10,10,4174.524367570504
2,20461003,200,11,11,4154.247175822926
2,20461003,200,12,12,4135.944842932923
2,20461003,200,13,13,4120.260319589419
2,20461003,200,14,14,4107.186218578191
2,20461003,200,15,15,4096.440486807591
2,20461003,200,16,16,4087.7316957161797
2,20461003,200,17,17,4081.0612336925665
2,20461003,200,18,18,4076.031407613386
2,20461003,200,19,19,4072.8929492828015
2,20461003,200,20,20,4070.3521779573252
2,20461003,200,21,20,4070.3521779573252
2,20461003,200,22,20,4070.3521779573252
3,20461004,200,0,0,4733.063581301019
3,20461004,200,1,1,4681.982205446903
3,20461004,200,2,2,4644.350988688271
3,20461004,200,3,3,4607.642430956324
3,20461004,200,4,4,4573.5022666668
3,20461004,200,5,5,4539.602622586188
3,20461004,200,6,6,4509.154608579928
3,20461004,200,7,7,4481.126789365359
3,20461004,200,8,8,4454.120925849135
3,20461004,200,9,9,4428.797203048493
3,20461004,200,10,10,4405.325285560932
3,20461004,200,11,11,4386.114146850794
3,20461004,200,12,12,4368.3153619516115
3,20461004,200,13,13,4351.807276792647
3,20461004,200,14,14,4336.883780494216
3,20461004,200,15,15,4322.905446168837
3,20461004,200,16,16,4310.125062062298
3,20461004,200,17,17,4301.260815702735
3,20461004,200,18,18,4293.236009395734
3,20461004,200,19,19,4286.843665773941
3,20461004,200,20,20,4281.839904880714
3,20461004,200,21,21,4281.206093764399
4,20461005,200,0,0,4742.297160411297
4,20461005,200,1,1,4700.499464707419
4,20461005,200,2,2,4658.752180464567
4,20461005,200,3,3,4618.86561247243
4,20461005,200,4,4,4581.000773425437
4,20461005,200,5,5,4544.006810120413
4,20461005,200,6,6,4510.902192791645
4,20461005,200,7,7,4482.14883207015
4,20461005,200,8,8,4454.158058156921
4,20461005,200,9,9,4428.563523993539
4,20461005,200,10,10,4405.197825838928
4,20461005,200,11,11,4383.919239245379
4,20461005,200,12,12,4362.936162571829
4,20461005,200,13,13,4343.381627209463
4,20461005,200,14,14,4325.328623640647
4,20461005,200,15,15,4310.31653444417
4,20461005,200,16,16,4296.946674145712
4,20461005,200,17,17,4286.162090683227
4,20461005,200,18,18,4276.794354614295
4,20461005,200,19,19,4270.067620367794
4,20461005,200,20,20,4264.968997844752
4,20461005,200,21,21,4262.845957047168
4,20461005,200,22,21,4262.845957047168
4,20461005,200,23,21,4262.845957047168
4,20461005,200,24,21,4262.845957047168
5,20461006,200,0,0,4772.103337290587
5,20461006,200,1,1,4724.865888655598
5,20461006,200,2,2,4683.104345645441
5,20461006,200,3,3,4643.594373816571
5,20461006,200,4,4,4604.497814253802
5,20461006,200,5,5,4566.669809278995
5,20461006,200,6,6,4532.732476560189
5,20461006,200,7,7,4501.091659406661
5,20461006,200,8,8,4471.084414038277
5,20461006,200,9,9,4445.853645113401
5,20461006,200,10,10,4422.303990022888
5,20461006,200,11,11,4400.263235949372
5,20461006,200,12,12,4382.814962437162
5,20461006,200,13,13,4365.958145750896
5,20461006,200,14,14,4351.042642541847
5,20461006,200,15,15,4337.497856812119
5,20461006,200,16,16,4326.003403117386
5,20461006,200,17,17,4316.60476956173
5,20461006,200,18,18,4308.711271208272
5,20461006,200,19,19,4302.344357943327
5,20461006,200,20,20,4297.34518677714
5,20461006,200,21,21,4293.891443842489
5,20461006,200,22,22,4291.044182463898
5,20461006,200,23,23,4290.463867554179
6,20461007,200,0,0,4511.825846896984
6,20461007,200,1,1,4468.806282597186
6,20461007,200,2,2,4433.002751249165
6,20461007,200,3,3,4400.567599494638
6,20461007,200,4,4,4368.625632158081
6,20461007,200,5,5,4336.725999088401
6,20461007,200,6,6,4304.958300402071
6,20461007,200,7,7,4276.317559381749
6,20461007,200,8,8,4248.909855470703
6,20461007,200,9,9,4221.71956442628
6,20461007,200,10,10,4198.582456655448
6,20461007,200,11,11,4176.495513034018
6,20461007,200,12,12,4156.177251170956
6,20461007,200,13,13,4137.4692939212155
6,20461007,200,14,14,4120.282285653509
6,20461007,200,15,15,4104.556932529255
6,20461007,200,16,16,4089.8094649009167
6,20461007,200,17,17,4076.147579612957
6,20461007,200,18,18,4063.722422698969
6,20461007,200,19,19,4052.989886653686
6,20461007,200,20,20,4045.3471622105035
6,20461007,200,21,21,4040.0587774945316
6,20461007,200,22,22,4036.150731323952
6,20461007,200,23,23,4033.3984178995506
6,20461007,200,24,24,4032.7244586162083
7,20461008,200,0,0,4831.213092683584
7,20461008,200,1,1,4786.764565453231
7,20461008,200,2,2,4745.015388291357
7,20461008,200,3,3,4706.958285354258
7,20461008,200,4,4,4670.478731813721
7,20461008,200,5,5,4634.666008211905
7,20461008,200,6,6,4600.503970100248
7,20461008,200,7,7,4567.77419958341
7,20461008,200,8,8,4538.187124356236
7,20461008,200,9,9,4511.093919325221
7,20461008,200,10,10,4485.082155168074
7,20461008,200,11,11,4462.693314084806
7,20461008,200,12,12,4443.981996123839
7,20461008,200,13,13,4427.178304938789
7,20461008,200,14,14,4411.786928857883
7,20461008,200,15,15,4399.032587238899
7,20461008,200,16,16,4387.763831268303
7,20461008,200,17,17,4378.682230098455
7,20461008,200,18,18,4370.944366890783
7,20461008,200,19,19,4364.338456084748
7,20461008,200,20,20,4359.483260293586
7,20461008,200,21,21,4356.511236805546
7,20461008,200,22,22,4355.711449546497
8,20461009,200,0,0,4515.289709753927
8,20461009,200,1,1,4469.678585065339
8,20461009,200,2,2,4424.9704920461
8,20461009,200,3,3,4380.95354613856
8,20461009,200,4,4,4342.354197578311
8,20461009,200,5,5,4305.108571702655
8,20461009,200,6,6,4272.169568175783
8,20461009,200,7,7,4242.018800123182
8,20461009,200,8,8,4214.079235811632
8,20461009,200,9,9,4192.139365315516
8,20461009,200,10,10,4173.425740208625
8,20461009,200,11,11,4155.242834539461
8,20461009,200,12,12,4141.781527395262
8,20461009,200,13,13,4130.74507074546
8,20461009,200,14,14,4120.5680982448985
8,20461009,200,15,15,4111.7061291689315
8,20461009,200,16,16,4104.693900479556
8,20461009,200,17,17,4098.218793207452
8,20461009,200,18,18,4093.1609545729452
8,20461009,200,19,19,4090.379058503688
8,20461009,200,20,20,4089.466273205828
8,20461009,200,21,20,4089.466273205828
9,20461010,200,0,0,4518.205920305846
9,20461010,200,1,1,4474.764698405395
9,20461010,200,2,2,4433.229329641699
9,20461010,200,3,3,4393.94262011022
9,20461010,200,4,4,4361.63188187586
9,20461010,200,5,5,4331.113899141323
9,20461010,200,6,6,4301.8358449755115
9,20461010,200,7,7,4275.044186895224
9,20461010,200,8,8,4249.915724054268
9,20461010,200,9,9,4225.836269729673
9,20461010,200,10,10,4204.337986153244
9,20461010,200,11,11,4184.522492600678
9,20461010,200,12,12,4168.2958447655365
9,20461010,200,13,13,4153.424462704993
9,20461010,200,14,14,4140.938663841624
9,20461010,200,15,15,4131.244994089903
9,20461010,200,16,16,4124.308820641456
9,20461010,200,17,17,4118.028807342859
9,20461010,200,18,18,4112.671249771381
9,20461010,200,19,19,4108.422944821129
9,20461010,200,20,20,4105.780320684655
9,20461010,200,21,21,4104.9814860695205
9,20461010,200,22,21,4104.9814860695205
